article_id,journal_name
2350,"Actas del III Congreso Internacional Latina de Comunicación Social. La Laguna, Tenerife (España): Universidad de La Laguna. CD-Rom"
5323,"ACTAS INAGEQ"
3730,"Actes des 10e Journées de l’hydrodynamique"
2227,"Actes des 9èmes Journées de l’Hydrodynamique"
4548,"ADAPTtoCLIMATE Conference"
891,Addiction
4549,Addiction
5233,Addiction
7854,Addiction
8433,Addiction
6131,"Addiction biology"
1838,"Addictive behaviors"
4607,"Addictive behaviors"
6576,"Administration and Policy in Mental Health and Mental Health Services Research"
2540,"Administrative science quarterly"
3058,"Administrative science quarterly"
4010,"Administrative science quarterly"
4118,"Administrative science quarterly"
4484,"Administrative science quarterly"
4611,"Administrative science quarterly"
6025,"Administrative science quarterly"
1078,"Advanced Electronic Materials"
7,"Advanced Energy Materials"
199,"Advanced Energy Materials"
244,"Advanced Energy Materials"
649,"Advanced Energy Materials"
1252,"Advanced Energy Materials"
2464,"Advanced Energy Materials"
3841,"Advanced Energy Materials"
7229,"Advanced Energy Materials"
8614,"Advanced Energy Materials"
8642,"Advanced Energy Materials"
401,"Advanced Functional Materials"
641,"Advanced Functional Materials"
1799,"Advanced Functional Materials"
1837,"Advanced Functional Materials"
2048,"Advanced Functional Materials"
2250,"Advanced Functional Materials"
2404,"Advanced Functional Materials"
2616,"Advanced Functional Materials"
2985,"Advanced Functional Materials"
5696,"Advanced Functional Materials"
6181,"Advanced Functional Materials"
7406,"Advanced Functional Materials"
7461,"Advanced Functional Materials"
7533,"Advanced Functional Materials"
7867,"Advanced Functional Materials"
7896,"Advanced Functional Materials"
8698,"Advanced Functional Materials"
8822,"Advanced Functional Materials"
8887,"Advanced Functional Materials"
9619,"Advanced Functional Materials"
9713,"Advanced Functional Materials"
333,"Advanced Materials"
1477,"Advanced Materials"
1790,"Advanced Materials"
2211,"Advanced Materials"
2457,"Advanced Materials"
2771,"Advanced Materials"
3173,"Advanced Materials"
3381,"Advanced Materials"
3997,"Advanced Materials"
4143,"Advanced Materials"
4367,"Advanced Materials"
4507,"Advanced Materials"
4629,"Advanced Materials"
5418,"Advanced Materials"
5446,"Advanced Materials"
5814,"Advanced Materials"
7025,"Advanced Materials"
8258,"Advanced Materials"
8587,"Advanced Materials"
8997,"Advanced Materials"
9068,"Advanced Materials"
9087,"Advanced Materials"
9428,"Advanced Materials"
9575,"Advanced Materials"
9860,"Advanced Materials"
4697,"Advanced Materials for Optics and Electronics"
7586,"Advanced Materials Technologies"
9730,"Advanced Optical Materials"
6917,"Advances in Animal Biosciences"
1034,"Advances in Applied Ceramics"
779,"Advances in colloid and interface science"
8658,"Advances in Competitiveness Research"
3059,"Advances in Complex Systems"
3732,"Advances in Consumer Research"
5324,"Advances in Information Sciences and Service Sciences"
355,"Advances in Turbulence XI"
1024,Aerobiologia
2153,Aerobiologia
6868,"African Journal of Agricultural Research"
6435,"Africana studia: revista internacional de estudos africanos"
3645,"Aging (Albany NY)"
2198,"Agricultural and Forest Meteorology"
2246,"Agricultural and Forest Meteorology"
2361,"Agricultural and Forest Meteorology"
2414,"Agricultural and Forest Meteorology"
2472,"Agricultural and Forest Meteorology"
2703,"Agricultural and Forest Meteorology"
2894,"Agricultural and Forest Meteorology"
3187,"Agricultural and Forest Meteorology"
3242,"Agricultural and Forest Meteorology"
3609,"Agricultural and Forest Meteorology"
4186,"Agricultural and Forest Meteorology"
5007,"Agricultural and Forest Meteorology"
5431,"Agricultural and Forest Meteorology"
6075,"Agricultural and Forest Meteorology"
6285,"Agricultural and Forest Meteorology"
4518,"Agricultural ecosystem effects on trace gases and global climate change"
7639,"Agricultural Sci. J"
9030,"Agricultural Sciences in China"
7152,"Agriculture, Forestry and Fisheries"
2098,"Agrobios Newsletter"
929,"Agronomy for sustainable development"
4411,"Agronomy for sustainable development"
7802,"Agronomy for sustainable development"
749,"Agronomy journal"
2528,"Agronomy journal"
3142,"Agronomy journal"
6168,"Agronomy journal"
6244,"Agronomy journal"
7476,"Agronomy journal"
4032,"AGU Fall Meeting Abstracts"
4116,"AGU Fall Meeting Abstracts"
4180,"AGU Fall Meeting Abstracts"
5565,"AGU Fall Meeting Abstracts"
2353,"AIDS and Behavior"
2542,"AIDS research and human retroviruses"
2678,"Ain Shams Engineering Journal"
6946,"AIP Advances"
5740,"AIP Conference Proceedings"
6239,"AIP Conference Proceedings"
7380,"AIP Conference Proceedings"
8573,"AIP Conference Proceedings"
4254,"Air Quality, Atmosphere & Health"
4429,"AJOB empirical bioethics"
6070,"AJR. American journal of roentgenology"
9451,"AJR. American journal of roentgenology"
4565,"Alcoholism: Clinical & Experimental Research"
5077,"Alcoholism: Clinical and Experimental Research"
7210,"Alfred, Ontario, Canada: Ontario Rural Wastewater Centre, Université de Guelph-Campus d’Alfred"
3073,Allergy
5544,Allergy
9445,Allergy
9741,Allergy
3082,"Alternative Law Journal"
3712,"Alternative Law Journal"
3817,"Alternative Law Journal"
4649,"Alzheimer's & Dementia: Translational Research & Clinical Interventions"
2659,"Am J Nurs"
2602,"Am J Nurs Sci"
6845,"Am J Phys Med"
7469,"Am Rev Respir Dis"
7110,"Am. Ceram. Soc. Bull"
8210,"Am. UL Rev."
3290,"AMA Arch. Dermat"
9123,"Ambiente & Água-An Interdisciplinary Journal of Applied Science"
2089,"Ambiente & sociedade"
2483,"Ambiente & sociedade"
2592,"Ambiente & sociedade"
2207,"Ambiente e Sociedade"
28,"American Economic Journal: Economic Policy"
65,"American Economic Review"
878,"American Economic Review"
5321,"American Educational Research Journal"
6636,"American heart journal"
8719,"American heart journal"
1279,"American Journal of Agricultural and Biological Sciences"
4520,"American Journal of Botany"
7249,"American Journal of Botany"
7320,"American Journal of Botany"
7550,"American Journal of Botany"
7824,"American Journal of Botany"
8181,"American Journal of Botany"
8239,"American Journal of Botany"
971,"American Journal of Case Reports"
1014,"American Journal of Case Reports"
1120,"American Journal of Case Reports"
7220,"American journal of epidemiology"
6220,"American Journal of Experimental and Clinical Research"
62,"American Journal of Health-System Pharmacy"
148,"American Journal of Health-System Pharmacy"
251,"American Journal of Health-System Pharmacy"
307,"American Journal of Health-System Pharmacy"
374,"American Journal of Health-System Pharmacy"
625,"American Journal of Health-System Pharmacy"
9535,"American Journal of Health-System Pharmacy"
3966,"American Journal of Heat and Mass Transfer"
8016,"American Journal of Kidney Diseases"
6043,"American Journal of Medical Genetics Part A"
6798,"American Journal of Medical Genetics Part A"
4848,"American Journal of Medical Genetics Part B: Neuropsychiatric Genetics"
9368,"American Journal of Medical Quality"
2023,"American Journal of Nursing"
2216,"American Journal of Nursing Science"
5861,"American journal of perinatology"
2722,"American Journal of Physiology-Cell Physiology"
8578,"American Journal of Physiology-Gastrointestinal and Liver Physiology"
8840,"American Journal of Physiology-Gastrointestinal and Liver Physiology"
7124,"American Journal of Physiology-Heart and Circulatory Physiology"
5923,"American Journal of Physiology-Renal Physiology"
6349,"American Journal of Psychiatry"
9955,"American Journal of Psychiatry"
7641,"American journal of public health"
8723,"American journal of respiratory and critical care medicine"
8125,"American journal of respiratory cell and molecular biology"
9426,"American journal of respiratory cell and molecular biology"
5710,"American journal of roentgenology"
8137,"American journal of roentgenology"
2613,"American journal of sociology"
8738,"American journal of therapeutics"
988,"American Mineralogist"
1294,"American Mineralogist"
6583,"American Mineralogist"
419,"American Psychologist"
7698,"American Society of Agricultural Engineers. Meeting (USA)"
3199,"American sociological review"
2238,"Amerika. Mémoires, identités, territoires"
8572,"AMIA annual symposium proceedings"
9632,"AMIA... Annual Symposium proceedings. AMIA Symposium"
740,"Amino acids"
4530,Anaesthesia
4980,"Anais brasileiros de dermatologia"
5947,"Anales de Pediatría"
8340,"Anales espanoles de pediatria"
9764,"Anales españoles de pediatría: Publicación oficial de la Asociación Española de Pediatría (AEP)"
3911,"Analyses of social issues and public policy"
4169,"Analyses of social issues and public policy"
639,"Analytica Chimica Acta"
3102,"Analytica Chimica Acta"
3431,"Analytical and bioanalytical chemistry"
7825,"Analytical and bioanalytical chemistry"
2546,"Analytical biochemistry"
4566,"Analytical biochemistry"
9650,"Analytical biochemistry"
5283,"Analytical Cellular Pathology"
1572,"Analytical chemistry"
2181,"Analytical chemistry"
2356,"Analytical chemistry"
2441,"Analytical chemistry"
2915,"Analytical chemistry"
4210,"Analytical chemistry"
5614,"Analytical chemistry"
9609,"Analytical chemistry"
4146,"Analytical Letters"
5685,"Anesthesia & Analgesia"
8892,"Anesthesia progress"
9482,"Anesthesia progress"
9282,"Angewandte Chemie"
9695,"Angewandte Chemie"
4244,"Angewandte Chemie International Edition"
4280,"Angewandte Chemie International Edition"
4469,"Angewandte Chemie International Edition"
4950,"Angewandte Chemie International Edition"
4975,"Angewandte Chemie International Edition"
5095,"Angewandte Chemie International Edition"
5221,"Angewandte Chemie International Edition"
5316,"Angewandte Chemie International Edition"
5412,"Angewandte Chemie International Edition"
5830,"Angewandte Chemie International Edition"
6010,"Angewandte Chemie International Edition"
6965,"Angewandte Chemie International Edition"
7308,"Angewandte Chemie International Edition"
7314,"Angewandte Chemie International Edition"
7374,"Angewandte Chemie International Edition"
7460,"Angewandte Chemie International Edition"
7857,"Angewandte Chemie International Edition"
8157,"Angewandte Chemie International Edition"
8274,"Angewandte Chemie International Edition"
8324,"Angewandte Chemie International Edition"
9673,"Angewandte Chemie International Edition"
9735,"Angewandte Chemie International Edition"
5336,"Animal Behaviour"
6292,"Animal Behaviour"
6360,"Animal Behaviour"
6857,"Animal Behaviour"
7306,"Animal Behaviour"
7399,"Animal Behaviour"
7772,"Animal Behaviour"
8261,"Animal Behaviour"
8767,"Animal Behaviour"
8929,"Animal Behaviour"
8017,"Animal cognition"
9047,"Animal cognition"
7432,"Animal feed science and technology"
9183,"Animal feed science and technology"
9737,"Animal feed science and technology"
2157,"Ann Arbor"
3536,"Annales francaises d'anesthesie et de reanimation"
3933,"Annali della Facoltà di Agraria"
754,"Annals of African medicine"
824,"Annals of African medicine"
354,"Annals of Agricultural and Environmental Medicine"
3163,"Annals of applied biology"
9780,"Annals of Behavioral Medicine"
5555,"Annals of biomedical engineering"
9915,"Annals of biomedical engineering"
3345,"Annals of Botany"
2299,"Annals of emergency medicine"
3002,"Annals of emergency medicine"
3138,"Annals of emergency medicine"
3889,"Annals of emergency medicine"
3969,"Annals of emergency medicine"
4897,"Annals of emergency medicine"
6227,"Annals of emergency medicine"
6771,"Annals of emergency medicine"
7616,"Annals of emergency medicine"
8263,"Annals of emergency medicine"
8479,"Annals of emergency medicine"
8644,"Annals of emergency medicine"
8908,"Annals of emergency medicine"
9754,"Annals of emergency medicine"
2765,"Annals of forest science"
3881,"Annals of Geophysics"
3993,"Annals of Geophysics"
4560,"Annals of Geophysics"
7792,"Annals of Global Analysis and Geometry"
7207,"Annals of internal Medicine"
8308,"Annals of Mathematics and Artificial Intelligence"
1345,"Annals of medical and health sciences research"
4766,"Annals of neurology"
1594,"Annals of Neurology: Official Journal of the American Neurological Association and the Child Neurology Society"
2021,"Annals of Neurology: Official Journal of the American Neurological Association and the Child Neurology Society"
4543,"Annals of Neurology: Official Journal of the American Neurological Association and the Child Neurology Society"
5860,"Annals of Neurology: Official Journal of the American Neurological Association and the Child Neurology Society"
6995,"Annals of Neurology: Official Journal of the American Neurological Association and the Child Neurology Society"
9969,"Annals of Neurology: Official Journal of the American Neurological Association and the Child Neurology Society"
7159,"Annals of oncology"
8234,"Annals of oncology"
8454,"Annals of oncology"
8513,"Annals of oncology"
9296,"Annals of oncology"
917,"Annals of palliative medicine"
361,"Annals of the New York Academy of Sciences"
463,"Annals of the New York Academy of Sciences"
1744,"Annals of the New York Academy of Sciences"
1869,"Annals of the New York Academy of Sciences"
3247,"Annals of the New York Academy of Sciences"
2160,"annual conference of The American Group Psychotherapy Association in New York City"
8374,"annual meeting of the Academy of Management. Toronto, Canada"
433,"annual meeting of the American Educational Research Association, Session"
2893,"Anpassung, Auswege und politische Forderungen betroffener Wirtschaftsbranchen. Berlin, Heidelberg, New York"
5795,"ANTEC 2003 Conference Proceedings"
1085,"Anti-cancer drug design"
1450,"Anti-cancer drug design"
3257,"Antimicrobial agents and chemotherapy"
4757,"Antimicrobial agents and chemotherapy"
7030,"Antimicrobial agents and chemotherapy"
9053,Aphasiology
315,"Apl Materials"
7998,"Apl Materials"
474,"Appl. Environ. Microbiol."
661,"Appl. Environ. Microbiol."
719,"Appl. Environ. Microbiol."
805,"Appl. Environ. Microbiol."
1478,"Appl. Environ. Microbiol."
2359,"Appl. Environ. Microbiol."
2435,"Appl. Environ. Microbiol."
3250,"Appl. Environ. Microbiol."
3305,"Appl. Environ. Microbiol."
4006,"Appl. Environ. Microbiol."
4687,"Appl. Environ. Microbiol."
6961,"Appl. Environ. Microbiol."
7259,"Appl. Environ. Microbiol."
7338,"Appl. Environ. Microbiol."
7495,"Appl. Environ. Microbiol."
7527,"Appl. Environ. Microbiol."
7636,"Appl. Environ. Microbiol."
7763,"Appl. Environ. Microbiol."
7982,"Appl. Environ. Microbiol."
8464,"Appl. Environ. Microbiol."
8480,"Appl. Environ. Microbiol."
8559,"Appl. Environ. Microbiol."
8592,"Appl. Environ. Microbiol."
8781,"Appl. Environ. Microbiol."
9129,"Appl. Environ. Microbiol."
9313,"Appl. Environ. Microbiol."
9767,"Appl. Environ. Microbiol."
41,"Applied Acoustics"
127,"Applied Acoustics"
667,"Applied Acoustics"
1043,"Applied Acoustics"
1172,"Applied Acoustics"
1333,"Applied Acoustics"
1632,"Applied Acoustics"
1747,"Applied Acoustics"
2120,"Applied Acoustics"
3391,"Applied biochemistry and biotechnology"
1933,"Applied Catalysis A: General"
3354,"Applied Catalysis A: General"
671,"Applied Catalysis B: Environmental"
1028,"Applied Catalysis B: Environmental"
1350,"Applied Catalysis B: Environmental"
2249,"Applied Catalysis B: Environmental"
2576,"Applied Catalysis B: Environmental"
2627,"Applied Catalysis B: Environmental"
3177,"Applied Catalysis B: Environmental"
4301,"Applied Catalysis B: Environmental"
4637,"Applied Catalysis B: Environmental"
4768,"Applied Catalysis B: Environmental"
4889,"Applied Catalysis B: Environmental"
4945,"Applied Catalysis B: Environmental"
5382,"Applied Catalysis B: Environmental"
6243,"Applied Catalysis B: Environmental"
6700,"Applied Catalysis B: Environmental"
6747,"Applied Catalysis B: Environmental"
8682,"Applied Catalysis B: Environmental"
9135,"Applied Catalysis B: Environmental"
9203,"Applied Catalysis B: Environmental"
9271,"Applied Catalysis B: Environmental"
1879,"Applied Clay Science"
3295,"Applied Clay Science"
6202,"Applied Energy"
2840,"Applied Materials Today"
1004,"Applied mathematical modelling"
1129,"Applied mathematical modelling"
3366,"Applied mathematical modelling"
3769,"Applied mathematical modelling"
3934,"Applied mathematical modelling"
5416,"Applied mathematical modelling"
6136,"Applied mathematical modelling"
9221,"Applied mathematical modelling"
273,"Applied Mathematics and Computation"
2091,"Applied Mathematics and Computation"
2335,"Applied Mathematics and Computation"
2443,"Applied Mathematics and Computation"
2654,"Applied Mathematics and Computation"
3828,"Applied Mathematics and Computation"
4263,"Applied Mathematics and Computation"
4438,"Applied Mathematics and Computation"
7212,"Applied Mathematics and Computation"
3589,"Applied Mathematics and Nonlinear Sciences"
3639,"Applied Mathematics and Nonlinear Sciences"
2518,"Applied Mathematics Letters"
2942,"Applied Mathematics Letters"
4310,"Applied Mathematics Letters"
5618,"Applied Mathematics Letters"
1335,"Applied microbiology and biotechnology"
3284,"Applied microbiology and biotechnology"
6573,"Applied microbiology and biotechnology"
6899,"Applied microbiology and biotechnology"
8787,"Applied microbiology and biotechnology"
9899,"Applied microbiology and biotechnology"
9994,"Applied microbiology and biotechnology"
3170,"Applied Numerical Mathematics"
771,"Applied Nursing Research"
3548,"Applied ocean research"
5047,"Applied ocean research"
5715,"Applied optics"
5999,"Applied optics"
6301,"Applied optics"
7224,"Applied optics"
8845,"Applied optics"
9469,"Applied optics"
5564,"Applied organometallic chemistry"
940,"Applied Physics A"
4829,"Applied Physics A"
5439,"Applied Physics A"
6682,"Applied Physics A"
8684,"Applied Physics B: Lasers and Optics"
8756,"Applied Physics B: Lasers and Optics"
466,"Applied Physics Letters"
556,"Applied Physics Letters"
586,"Applied Physics Letters"
722,"Applied Physics Letters"
846,"Applied Physics Letters"
1312,"Applied Physics Letters"
1440,"Applied Physics Letters"
1487,"Applied Physics Letters"
2125,"Applied Physics Letters"
2126,"Applied Physics Letters"
2164,"Applied Physics Letters"
2392,"Applied Physics Letters"
2446,"Applied Physics Letters"
2884,"Applied Physics Letters"
3378,"Applied Physics Letters"
3840,"Applied Physics Letters"
4031,"Applied Physics Letters"
4366,"Applied Physics Letters"
4375,"Applied Physics Letters"
4480,"Applied Physics Letters"
4542,"Applied Physics Letters"
5494,"Applied Physics Letters"
5669,"Applied Physics Letters"
5781,"Applied Physics Letters"
5956,"Applied Physics Letters"
6451,"Applied Physics Letters"
6666,"Applied Physics Letters"
6856,"Applied Physics Letters"
8070,"Applied Physics Letters"
8113,"Applied Physics Letters"
8222,"Applied Physics Letters"
8323,"Applied Physics Letters"
8562,"Applied Physics Letters"
8914,"Applied Physics Letters"
8937,"Applied Physics Letters"
8971,"Applied Physics Letters"
9252,"Applied Physics Letters"
9316,"Applied Physics Letters"
9321,"Applied Physics Letters"
9480,"Applied Physics Letters"
9591,"Applied Physics Letters"
9809,"Applied Physics Letters"
2816,"Applied Soft Computing"
3809,"Applied Soft Computing"
5237,"Applied Soft Computing"
5590,"Applied Soft Computing"
5550,"Applied Soil Ecology"
9432,"Applied Soil Ecology"
8702,"Applied spectroscopy"
9870,"Applied spectroscopy"
2880,"Applied Stochastic Models in Business and Industry"
266,"Applied surface science"
402,"Applied surface science"
456,"Applied surface science"
575,"Applied surface science"
1518,"Applied surface science"
1577,"Applied surface science"
3545,"Applied surface science"
3953,"Applied surface science"
7383,"Applied surface science"
7866,"Applied surface science"
8601,"Applied surface science"
8747,"Applied surface science"
5162,"Applied Vegetation Science"
2978,"APSA 2012 Annual Meeting Paper"
9457,"Aquac. Nutr"
6493,"Aquacult. Fish. Manage."
5065,Aquaculture
5123,Aquaculture
5240,Aquaculture
5396,Aquaculture
5663,Aquaculture
5810,Aquaculture
5813,Aquaculture
6061,Aquaculture
6914,Aquaculture
8088,Aquaculture
9002,"Aquaculture international"
5473,"Aquaculture Nutrition"
5521,"Aquaculture Nutrition"
5942,"Aquaculture Nutrition"
6977,"Aquaculture Nutrition"
9317,"Aquaculture Nutrition"
5184,"Aquaculture research"
5303,"Aquaculture research"
5872,"Aquaculture research"
6176,"Aquaculture research"
6628,"Aquaculture research"
6753,"Aquaculture research"
7044,"Aquaculture research"
7129,"Aquaculture research"
8031,"Aquaculture research"
8176,"Aquaculture research"
8411,"Aquaculture research"
9896,"Aquaculture research"
2063,"Aquatic Biology"
2346,"Aquatic Biology"
4296,"Aquatic Conservation: Marine and Freshwater Ecosystems"
1701,"Aquatic Ecosystem Health & Management"
9283,"Arabian Journal for Science and Engineering"
8185,"Arch Bronconeumol"
8244,"Arch Bronconeumol"
9878,"Arch Bronconeumol"
9985,"Arch Bronconeumol"
1349,Archipel
1618,"Archiv der Pharmazie"
888,"Archiv der Pharmazie: An International Journal Pharmaceutical and Medicinal Chemistry"
4191,"Archiv für Hydrobiologie"
1220,"Archives of biochemistry and biophysics"
6962,"Archives of biochemistry and biophysics"
7140,"Archives of biochemistry and biophysics"
7615,"Archives of biochemistry and biophysics"
7841,"Archives of biochemistry and biophysics"
8441,"Archives of biological sciences"
7978,"Archives of Clinical Psychiatry"
8650,"Archives of Disease in Childhood-Fetal and Neonatal Edition"
9622,"Archives of gerontology and geriatrics"
2236,"Archives of Hygiene Sciences"
2410,"Archives of Hygiene Sciences Volume"
1315,"Archives of internal medicine"
2340,"Archives of Metallurgy and Materials"
2751,"Archives of Microbiology"
4121,"Archives of Microbiology"
