"id";"name";"affiliation";"citedby";"pub_title";"pub_year";"citations";"pub_author";"eprint"
6726;"Vladimir Pravosudov";"Professor of Biology, University of Nevada Reno";3869;"The ecological relevance of sleep: the trade-off between sleep, memory and energy conservation";"2010";48;"Timothy C Roth and Niels C Rattenborg and Vladimir V Pravosudov";"https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2009.0209"
6727;"Takeshi Bamba";"Medical Institute of Bioregulation, Kyushu University";5425;"A metabolomics-based strategy for identification of gene targets for phenotype improvement and its application to 1-butanol tolerance in Saccharomyces cerevisiae";"2015";16;"Shao Thing Teoh and Sastia Putri and Yukio Mukai and Takeshi Bamba and Eiichiro Fukusaki";""
6728;"Holger Hoos";"Professor of Computer Science, Leiden University & University of British Columbia";23694;"Computational RNA secondary structure design: empirical complexity and improved methods";"2007";56;"Rosalía Aguirre-Hernández and Holger H Hoos and Anne Condon";"https://bmcbioinformatics.biomedcentral.com/articles/10.1186/1471-2105-8-34"
6729;"Zhang Xiao 张翛";"Tongji University, Shanxi Transportation Research Institute";13987;"Novel oxalate coordination mode and roles: synthesis, structure and fluorescence property of [Cd2 (μ5-ox)(μ3-OH) 2] with 3-D structure";"2004";35;"Jing Lu and Yong Li and Kui Zhao and Ji-Qing Xu and Jie-Hui Yu and Guang-Hua Li and Xiao Zhang and Hai-Ying Bie and Tie-Gang Wang";""
6730;"Enrico Dall'Ara";"Senior Lecturer, University of Sheffield";1785;"Effect of SR-microCT radiation on the mechanical integrity of trabecular bone using in situ mechanical testing and digital volume correlation";"2018";6;"Marta Peña Fernández and Silvia Cipiccia and Enrico Dall'Ara and Andrew J Bodey and Rachna Parwani and Martino Pani and Gordon W Blunn and Asa H Barber and Gianluca Tozzi";""
6731;"Udo Netzelmann";"Fraunhofer Institute for Nondestructive Testing";1050;"The influence of external magnetic fields on crack contrast in magnetic steel detected by induction thermography";"2013";18;"Patrick Jäckel and Udo Netzelmann";"https://www.ndt.net/article/qirt2012/papers/QIRT-2012-206.pdf"
6732;"Maria Grazia Tozzi";"Professore di Biochimica Università di Pisa";2242;"Local delivery of human tissue kallikrein gene accelerates spontaneous angiogenesis in mouse model of hindlimb ischemia";"2001";227;"Costanza Emanueli and Alessandra Minasi and Antonella Zacheo and Julie Chao and Lee Chao and Maria Bonaria Salis and Stefania Straino and Maria Grazia Tozzi and Robert Smith and Leonardo Gaspa and Giuseppe Bianchini and Francesco Stillo and Maurizio C Capogrossi and Paolo Madeddu";"https://www.ahajournals.org/doi/full/10.1161/01.CIR.103.1.125"
6733;"Robert Kennicutt";"Professor of Astronomy, University of Cambridge";60140;"High-resolution CO and radio imaging of z ∼ 2 ULIRGs: extended CO structures and implications for the universal star formation law";"2010";120;"MS Bothwell and SC Chapman and L Tacconi and Ian Smail and RJ Ivison and CM Casey and F Bertoldi and R Beswick and A Biggs and AW Blain and P Cox and R Genzel and TR Greve and R Kennicutt and T Muxlow and R Neri and A Omont";"https://academic.oup.com/mnras/article/405/1/219/1021484"
6734;"Yoshikazu Fukuyama";"School of Interdiciplinary Mathematical Science, Meiji University";6000;"受信端末始動型間欠動作データ転送方式の性能評価";"2009";6;"小南大智， 菅野正嗣， 村田正幸， 畠内孝明， 福山良和， 四蔵達之";""
6735;"Kenneth Loh";"University of California, San Diego";4119;"Noncontact epoxy curing monitoring and subsurface damage detection";"1970";1;"SUMIT GUPTA and GAOCHEN FAN and KENNETH J LOH";""
6736;"Carlo Albino Frigo";"Politecnico di Milano";5027;"The heel-contact gait pattern of habitual toe walkers";"2005";34;"P Crenna and E Fedrizzi and E Andreucci and C Frigo and R Bono";"http://www.academia.edu/download/46375065/j.gaitpost.2004.03.00520160610-646-1uegg6g.pdf"
6737;"Christopher Jarrold";"Professor in Cognitive Development";10480;"No Own-Age Advantage in Children’s Recognition of Emotion on Prototypical Faces of Different Ages";"2015";7;"Sarah Griffiths and Ian S Penton-Voak and Chris Jarrold and Marcus R Munafò";"https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0125256"
6738;"Sarmad Hussain";"Professor, Center for Language Engineering, KICS-UET";52804;"Observation of cosmic-ray anisotropy with the icetop air shower array";"2013";118;"MG Aartsen and R Abbasi and Yasser Abdou and M Ackermann and J Adams and JA Aguilar and M Ahlers and D Altmann and K Andeen and J Auffenberg and X Bai and M Baker and SW Barwick and V Baum and R Bay and K Beattie and JJ Beatty and S Bechet and J Becker Tjus and K-H Becker and M Bell and ML Benabderrahmane and S BenZvi and J Berdermann and P Berghaus and D Berley and E Bernardini and D Bertrand and DZ Besson and D Bindig and M Bissok and E Blaufuss and J Blumenthal and David J Boersma and S Bohaichuk and C Bohm and D Bose and S Böser and Olga Botner and L Brayeur and AM Brown and R Bruijn and J Brunner and Michael Carson and J Casey and M Casier and D Chirkin and B Christy and K Clark and F Clevermann and S Cohen and DF Cowen and AH Cruz Silva and M Danninger and J Daughhetee and JC Davis and C De Clercq and Sam De Ridder and Freija Descamps and P Desiati and G de Vries-Uiterweerd and T DeYoung and JC Díaz-Vélez and J Dreyer and JP Dumm and M Dunkman and R Eagan and J Eisch and RW Ellsworth and O Engdegård and S Euler and PA Evenson and O Fadiran and AR Fazely and A Fedynitch and J Feintzeig and Tom Feusels and K Filimonov and C Finley and T Fischer-Wasels and S Flis and A Franckowiak and R Franke and K Frantzen and T Fuchs and TK Gaisser and J Gallagher and L Gerhardt and L Gladstone and T Glüsenkamp and A Goldschmidt and G Golup and JA Goodman and D Góra and D Grant and A Gross and S Grullon and M Gurtner and C Ha and A Haj Ismail and Allan Hallgren and F Halzen and K Hanson and D Heereman and P Heimann and D Heinen and K Helbing and R Hellauer and S Hickford and GC Hill and KD Hoffman and R Hoffmann and A Homeier and K Hoshina and W Huelsnitz and PO Hulth and K Hultqvist and S Hussain and A Ishihara and E Jacobi and J Jacobsen and GS Japaridze and O Jlelati and A Kappes and T Karg and A Karle and J Kiryluk and F Kislat and J Kläs and SR Klein and J-H Köhne and G Kohnen and H Kolanoski and L Köpke and C Kopper and S Kopper and DJ Koskinen and M Kowalski and M Krasberg and G Kroll and J Kunnen and N Kurahashi and T Kuwabara and M Labare and H Landsman and MJ Larson and R Lauer and M Lesiak-Bzdak and J Lünemann and J Madsen";"https://arxiv.org/pdf/1210.5278"
6739;"Dennis A. Bazylinski";"University of Nevada at Las Vegas";14521;"Magnetotactic bacteria as potential sources of bioproducts";"2015";38;"Ana Araujo and Fernanda Abreu and Karen Silva and Dennis Bazylinski and Ulysses Lins";"https://www.mdpi.com/1660-3397/13/1/389/pdf"
6740;"Elizabeth Pattey";"Research Scientist, Agriculture and Agri-Fodd Canada";7167;"Model comparison of soil processes in eastern Canada using DayCent, DNDC and STICS";"2017";4;"G Guest and R Kröbel and B Grant and W Smith and J Sansoulet and E Pattey and R Desjardins and G Jégo and N Tremblay and G Tremblay";""
6741;"Kelly Yuliana Celis Ramirez";"Estudiante de Ingeniería Ambiental Universidad Ecci";1024;"The Role of Precursor Concentration on the Characteristics of SiO2-CaO Films";"2003";15;"I Izquierdo-Barba and M Vallet-Regi and JM Rojo and E Blanco and L Esquivias";""
6742;"Karl J.J. Mayrhofer";"Director, Helmholtz-Institute Erlangen-Nürnberg for Renewable Energy (IEK-11), FZ Jülich";16195;"Dissolution of noble metals during oxygen evolution in acidic media";"2014";156;"Serhiy Cherevko and Aleksandar R Zeradjanin and Angel A Topalov and Nadiia Kulyk and Ioannis Katsounaros and Karl JJ Mayrhofer";"http://www.academia.edu/download/45404747/Dissolution_of_Noble_Metals_during_Oxyge20160506-27528-14yep0l.pdf"
6743;"Gabriel Chávez-Cabello";"Profesor Investigador Universidad Autónoma de Nuevo León";489;"Evolución estructural del frente tectónico de la Sierra Madre Oriental en el Cañón Santa Rosa, Linares, Nuevo León";"1970";1;"Gabriel Chávez Cabello and Jesús Alberto Torres Ramos and Nelson Damián Porras Vázquez and Tomás Cossio Torres and José Jorge Aranda Gómez";"https://www.redalyc.org/pdf/943/94321479008.pdf"
6744;"Song-Ping Zhu";"Professor of Mathematics, University of Wollongong, Australia";2497;"A three-dimensional numerical model of the response of the Australian North West Shelf to tropical cyclones";"1994";4;"Songping Zhu and Jörg Imberger";"http://ro.uow.edu.au/cgi/viewcontent.cgi?article=3710&context=eispapers"
6745;"Natascha Wagner";"Associate Professor of International Economics, ISS (Erasmus University Rotterdam)";240;"Universal health coverage at the macro level: synthetic control evidence from Thailand";"2017";7;"Matthias Rieger and Natascha Wagner and Arjun S Bedi";""
6746;"Ehsan Ahmadi";"Ialamic Azad university, Lenjan Branch, Esfahan, Iran";1211;"Cooperative fuzzy rulebase construction based on a novel fuzzy decision tree";"2009";1;"E Ahmadi and M Taheri and N Mirshekari and Sattar Hashemi and Ashkan Sami and Ali Hamze";"https://www.researchgate.net/profile/Ehsan_Ahmadi2/publication/224114800_Cooperative_fuzzy_rulebase_construction_based_on_a_novel_fuzzy_decision_tree/links/0fcfd50f7fe56ad363000000.pdf"
6747;"Shaobin Wang";"Professor, School of Chemical Engineering, The University of Adelaide, Australia";29877;"Shape-controlled activation of peroxymonosulfate by single crystal α-Mn2O3 for catalytic phenol degradation in aqueous solution";"2014";91;"Edy Saputra and Syaifullah Muhammad and Hongqi Sun and Ha-Ming Ang and Moses O Tadé and Shaobin Wang";"http://www.academia.edu/download/41823434/Shape-controlled_activation_of_peroxymon20160131-2942-e0kqpa.pdf"
6748;"Sarah J Richardson";"University of Exeter Medical School";3521;"Expression of endoplasmic reticulum stress markers in the islets of patients with type 1 diabetes";"2012";132;"Ihsane Marhfour and XM Lopez and Dionysios Lefkaditis and Isabelle Salmon and Florent Allagnat and SJ Richardson and NG Morgan and Decio L Eizirik";""
6749;"M. Harrison";"Language Learning Books Author";41465;"High-temperature antiferromagnetism in molecular semiconductor thin films and nanostructures";"2014";72;"Michele Serri and Wei Wu and Luke R Fleet and Nicholas M Harrison and Cyrus F Hirjibehedin and Christopher WM Kay and Andrew J Fisher and Gabriel Aeppli and Sandrine Heutz";"https://www.nature.com/articles/ncomms4079"
6750;"James O. Fiet";"Brown Forman Chair in Entrepreneurship, University of Louisville";5954;"New venture teams' assessment of learning assistance from venture capital firms";"1996";265;"Jay B Barney and Lowell W Busenitz and James O Fiet and Douglas D Moesel";"http://www.academia.edu/download/46228399/0883-9026_2895_2900011-920160604-4837-gwik3g.pdf"
6751;"Carlos Eduardo Maduro de Campos";"Universidade Federal de Santa Catarina";1938;"Mössbauer and magnetization studies of Fe25Se75 iron selenides produced by mechanical alloying";"2004";20;"CEM Campos and V Drago and JC De Lima and TA Grandi and KD Machado and MR Silva";""
6752;"Yuanda Dong (董远达)";"Professor of Material Science, Shanghai University";2396;"Structural relaxation and crystallisation of bulk metallic glasses Zr41Ti14Cu12. 5Ni10− xBe22. 5Fex (x= 0 or 2) studied by mechanical spectroscopy";"2004";14;"Q Wang and JM Pelletier and YD Dong and YF Ji";"https://www.researchgate.net/profile/Qing_Wang34/publication/280957086_Structural_relaxation_and_crystalization_of_bulk_metallic_glasses_Zr412-Ti138-Cu125-Ni10-xBe225Fex_studied_by_mechanical_spetroscopy/links/56e0198c08aec4b3333cfd89.pdf"
6753;"Carlos Antonio Martinez Palacios";"UNIVERSIDAD MICHOACANA DE SAN NICOLAS DE HIDALGO";2536;"Anaesthesia, sedation and transportation of juvenile Menidia estor (Jordan) using benzocaine and hypothermia";"2007";29;"Lindsay G Ross and Judith Sanchez Blanco and Carlos Martínez‐Palacios and Ilie S Racotta and Mayra Toledo Cuevas";""
6754;"Xudong Wang";"university of Wisconsin Madison";18325;"Evolution of zinc oxide nanostructures through kinetics control";"1970";32;"Jian Shi and Hao Hong and Yong Ding and Yunan Yang and Fei Wang and Weibo Cai and Xudong Wang";""
6755;"GARBA JAMILU";"Zamfara state college of education Maru-Zamfara state, Nigeria";7;"Soil Resources Degradation and Conservation Techniques Adopted Among the Small Holder Farmers in Gusau, North-Western Nigeria";"2012";5;"S. Dalhatu and J. Garba";""
6756;"Yaroslav Kudryavtsev";"Institute of Petrochemical Synthesis, Russian Academy of Sciences, Moscow";1029;"Frequency dispersion of sound propagation in Rouse polymer melts via generalized dynamic random phase approximation";"2003";3;"I Ya Erukhimovich and Ya V Kudryavtsev";"https://arxiv.org/pdf/cond-mat/0304611"
6757;"Rashid Manzoor";"Specially Appointed Assistant Professor at Division of Global Epidemiology, Hokkaido University";382;"The zoonotic potential of avian influenza viruses isolated from wild waterfowl in Zambia";"2014";2;"Edgar Simulundu and Naganori Nao and John Yabe and Nilton A Muto and Thami Sithebe and Hirofumi Sawa and Rashid Manzoor and Masahiro Kajihara and Mieko Muramatsu and Akihiro Ishii and Hirohito Ogawa and Aaron S Mweene and Ayato Takada";"https://eprints.lib.hokudai.ac.jp/dspace/bitstream/2115/59859/1/Manuscript_AVIROL_HUSCAP.pdf"
6758;"Rohan H C Palmer";"Assistant Professor, Emory University";754;"Genetics of the associations between adolescent indicators of behavioral disinhibition and young adult measures of alcohol, tobacco and other substance use disorders";"2011";1;"Rohan Palmer and Susan Young and Michael Stallings and Robin Corley and Christian Hopfer and Valerie Knopik and John Hewitt";""
6759;"Steininger, Karl";"University of Graz";1999;"Umweltkontraproduktive direkte und indirekte Subventionen im Verkehrsbereich in Österreich";"1970";1;"Karl W Steininger and Franz E Prettenthaler";"http://www.fwu.at/assets/userFiles/Wissenschaft_Umwelt/6_2003/2003_06_steuerung.pdf#page=39"
6760;"Anne-Marie Kramer";"University of Nottingham";210;"Kinship, affinity and connectedness: Exploring the role of genealogy in personal lives";"2011";91;"Anne-Marie Kramer";"https://www.researchgate.net/profile/Anne_Marie_Kramer/publication/258188656_Kinship_Affinity_and_Connectedness_Exploring_the_Role_of_Genealogy_in_Personal_Lives/links/56f1274b08ae519284fbd9df/Kinship-Affinity-and-Connectedness-Exploring-the-Role-of-Genealogy-in-Personal-Lives.pdf"
6761;"Yong-Su Jin";"Professor of Food Microbiology, University of Illinoise at Urbana-Champaign";7217;"Engineered Saccharomyces cerevisiae capable of simultaneous cellobiose and xylose fermentation";"2011";403;"Suk-Jin Ha and Jonathan M Galazka and Soo Rin Kim and Jin-Ho Choi and Xiaomin Yang and Jin-Ho Seo and N Louise Glass and Jamie HD Cate and Yong-Su Jin";"https://www.pnas.org/content/108/2/504.full"
6762;"Meisam Bahadori";"University of Illinois Urbana-Champaign";450;"Microring-based Si/SiN dual-layer switch fabric";"2018";2;"Qixiang Cheng and Liang Yuan Dai and Meisam Bahadori and Padraic Morrissey and Robert Polster and Sebastien Rumley and Peter O'Brien and Keren Bergman";""
6763;"Randolph A. Jones";"Engineer Research and Development Center";201;"Virtual autonomous navigation environment (VANE)";"1970";10;"RA Jones and JD Priddy and DA Horner and JF Peters and SE Howington and JR Ballard and Jr and BQ Gates and CL Cummins";""
6764;"waltraud x schulze";"Unknown affiliation";9249;"Temporal analysis of sucrose-induced phosphorylation changes in plasma membrane proteins of Arabidopsis";"2007";212;"Totte Niittylä and Anja T Fuglsang and Michael G Palmgren and Wolf B Frommer and Waltraud X Schulze";"https://www.mcponline.org/content/mcprot/6/10/1711.full.pdf"
6765;"Kathleen Scanlon";"Assistant Professorial Research Fellow, London School of Economics";1718;"Co-housing: Shared Futures";"2016";3;"Helen Jarvis and Kath Scanlon and Melissa Fernández Arrigoitia and Paul Chatterton and Anna Kear and D O'Reilly and Lucy Sargisson and Fionn Stevenson";""
6766;"Sangeeta Ray Banerjee";"Associate Professor, Johns Hopkins University";3084;"Bridging the gap between in vitro and in vivo imaging: isostructural Re and 99mTc complexes for correlating fluorescence and radioimaging studies";"2004";203;"Karin A Stephenson and Sangeeta Ray Banerjee and Travis Besanger and Oyebola O Sogbein and Murali K Levadala and Nicole McFarlane and Jennifer A Lemon and Douglas R Boreham and Kevin P Maresca and John D Brennan and John W Babich and Jon Zubieta and John F Valliant";""
6767;"Li-Wei Ko";"National Chiao Tung University";2858;"Combining CCA and CFP for enhancing the performance in the hybrid BCI system";"2015";2;"Li-Wei Ko and S Sai Kalyan Ranga";""
6768;"kristen e. boon";"Seton Hall Law";593;"Are Control Tests Fit for the Future: The Slippage Problem in Attribution Doctrines";"1970";12;"Kristen E Boon";""
6769;"muthyala murali krishna kumar";"andhra university";27881;"Ultrastructure and mechanical properties of Populus wood with reduced lignin content caused by transgenic down-regulation of cinnamate 4-hydroxylase";"2010";71;"Ingela Bjurhager and Anne-Mari Olsson and Bo Zhang and Lorenz Gerber and Manoj Kumar and Lars A Berglund and Ingo Burgert and Björn Sundberg and Lennart Salmén";"http://www.diva-portal.org/smash/record.jsf?pid=diva2:372928"
6770;"Roberto Rivelino";"Universidade Federal da Bahia";1302;"A Monte Carlo-quantum mechanics study of the solvent-induced spectral shift and the specific role of hydrogen bonds in the conformational equilibrium of furfural in water";"2002";44;"Roberto Rivelino and Kaline Coutinho and Sylvio Canuto";"http://www.fge.if.usp.br/~kaline/Publicados_PDF/2002-Furfural_conformation-JPCB106-12317.pdf"
6771;"Nathan Shapiro";"Beth Israel Deaconess MEdical Center";17481;"An emergency department validation of the SEP-3 sepsis and septic shock definitions and comparison with 1992 consensus definitions";"2017";48;"Daniel J Henning and Michael A Puskarich and Wesley H Self and Michael D Howell and Michael W Donnino and Donald M Yealy and Alan E Jones and Nathan I Shapiro";"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5792164/"
6772;"Ana Tereza Bittencourt Guimarães";"Professora de Bioestatística, Universidade Estadual do Oeste do Paraná";926;"Litter production and seed rain in semideciduous forest fragments at different successional stages in the western part of the state of Paraná, Brazil";"2014";6;"Maria Angélica Gonçalves Toscan and Lívia Godinho Temponi and Ana Tereza Bittencourt Guimarães and José Flávio Cândido Junior";"http://www.scielo.br/scielo.php?pid=S0102-33062014000300012&script=sci_arttext"
6773;"pornchai rachtanapun";"Associate Professor, Division of Packaging Technology, Faculty of Agro-Industry, Chiang Mai";1355;"Influence of Storage Temperature on Ethanol Content, Microbial Growth and other Properties of Queen Pineapple Fruit.";"2013";6;"DTM Quyen and A Joomwong and P Rachtanapun";""
6774;"Pingze Zhang";"Jilin University";3054;"Identification of carboxypeptidase of glutamate like-B as a candidate suppressor in cell growth and metastasis in human hepatocellular carcinoma";"2006";22;"Pingping Zhang and David Wai Chan and YiYi Zhu and Jin Jun Li and Irene Oi-Lin Ng and Dafang Wan and Jianren Gu";"http://clincancerres.aacrjournals.org/content/clincanres/12/22/6617.full.pdf"
6775;"Shahin Yazdani";"Shahid Beheshti University of Medical Sciences";4549;"Traumatic subluxation of the globe into the maxillary sinus";"2007";16;"Mohammad Abrishami and Maryam Aletaha and Abbas Bagheri and Soltan Hossein Salour and Shahin Yazdani";""
6776;"Jes Olesen";"Professor i Neurologi";74403;"Glyceryl trinitrate induces attacks of migraine without aura in sufferers of migraine with aura";"1999";161;"I Christiansen and LL Thomsen and D Daugaard and V Ulrich and J Olesen";""
6777;"Jessica Torrion";"Assistant Professor-Crop Physiology, Montana State University";210;"14 Data-Driven Precision Agriculture";"2015";1;"Wenxuan Guo and Song Cui and Jessica Torrion and Nithya Rajan";""
6778;"Frances Ruth Wood";"University of Manchester";436;"The impacts of climate change on UK energy demand";"2015";3;"Frances Ruth Wood and Daniel Calverley and Steven Glynn and Sarah Mander and Walsh Conor and Jaise Kuriakose and Frances Hill and Mirjam Roeder";"https://publications.aston.ac.uk/id/eprint/38106/1/jinam.14.00039.pdf"
6779;"Hillel Haim";"University of Iowa";822;"Proteolytic processing of the human immunodeficiency virus envelope glycoprotein precursor decreases conformational flexibility";"2013";44;"Hillel Haim and Ignacio Salas and Joseph Sodroski";"https://jvi.asm.org/content/jvi/87/3/1884.full.pdf"
6780;"Ugur Yaramanci";"Berlin University of Technology em.";2556;"Experimental evidence for seismoelectric observations at field scale";"2010";1;"Julia Holzhauer and Ugur Yaramanci";""
6781;"Jennifer Wright-Berryman";"University of Cincinnati";72;"Factor structure of the autonomy preference index in people with severe mental illness";"2015";4;"Kelsey A Bonfils and Erin L Adams and Kim T Mueser and Jennifer L Wright-Berryman and Michelle P Salyers";"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4532554/"
6782;"Holger Hoos";"Professor of Computer Science, Leiden University & University of British Columbia";23694;"RchyOptimyx: cellular hierarchy optimization for flow cytometry";"2012";53;"Nima Aghaeepour and Adrin Jalali and Kieran O'Neill and Pratip K Chattopadhyay and Mario Roederer and Holger H Hoos and Ryan R Brinkman";"https://onlinelibrary.wiley.com/doi/pdf/10.1002/cyto.a.22209"
6783;"Miaofang Chi";"Center for Nanophase Materials Sciences, Oak Ridge National Lab";15415;"Platinum-based nanocages with subnanometer-thick walls and well-defined, controllable facets";"2015";460;"Lei Zhang and Luke T Roling and Xue Wang and Madeline Vara and Miaofang Chi and Jingyue Liu and Sang-Il Choi and Jinho Park and Jeffrey A Herron and Zhaoxiong Xie and Manos Mavrikakis and Younan Xia";""
6784;"NanShan Chang";"Unknown affiliation";3489;"TGF-β1-induced TIAF1 self-association leads to apoptosis";"1970";2;"MH Lee and SR Lin and NS Chang";"https://www.researchgate.net/profile/Nan-Shan_Chang/publication/236167926_TGF-b1_induced-TIAF1_self-association_leads_to_apoptosis/links/00b49516c0931d8f9b000000.pdf"
6785;"Sandra L Hanson";"Unknown affiliation";3024;"Gender, family resources, and success in science";"1996";15;"Sandra L Hanson";""
6786;"Robert Kennicutt";"Professor of Astronomy, University of Cambridge";60140;"A fundamental relation between the metallicity, gas content and stellar mass of local galaxies";"2013";119;"MS Bothwell and R Maiolino and R Kennicutt Jr and G Cresci and F Mannucci and A Marconi and C Cicone";"https://academic.oup.com/mnras/article/433/2/1425/1749733"
6787;"Carlo Albino Frigo";"Politecnico di Milano";5027;"Applications in movement and gait analysis";"2004";28;"C Frigo and R Shiavi";"https://www.researchgate.net/file.PostFileLoader.html?id=50f8d301e4f0769469000004&assetKey=AS%3A273651813814284%401442255085184#page=397"
6788;"Takeshi Bamba";"Medical Institute of Bioregulation, Kyushu University";5425;"Planteose as a storage carbohydrate required for early stage of germination of Orobanche minor and its metabolism as a possible target for selective control";"2015";16;"Takatoshi Wakabayashi and Benesh Joseph and Shuhei Yasumoto and Tomoyoshi Akashi and Toshio Aoki and Kazuo Harada and Satoru Muranaka and Takeshi Bamba and Eiichiro Fukusaki and Yasutomo Takeuchi and Koichi Yoneyama and Toshiya Muranaka and Yukihiro Sugimoto and Atsushi Okazawa";""
6789;"Jian-Sheng Wang";"Department of Physics, National University of Singapore";14812;"Traffic of single-headed motor proteins KIF1A: effects of lane changing";"2008";21;"Debashish Chowdhury and Ashok Garai and Jian-Sheng Wang";"http://repository.ias.ac.in/8044/1/425.pdf"
6790;"Maria Grazia Tozzi";"Professore di Biochimica Università di Pisa";2242;"Dilated and Failing Cardiomyopathy in Bradykinin B2 Receptor Knockout Mice";"1999";198;"Costanza Emanueli and Roberta Maestri and Domenico Corradi and Roberta Marchione and Alessandra Minasi and Maria Grazia Tozzi and Maria Bonaria Salis and Stefania Straino and Maurizio C Capogrossi and Giorgio Olivetti and Paolo Madeddu";"https://www.ahajournals.org/doi/full/10.1161/01.cir.100.23.2359"
6791;"Chien Hung Lai (賴建宏)";"Chung Yuan";31145;"Gas sensitivity of a composite of multi-walled carbon nanotubes and polypyrrole prepared by vapor phase polymerization";"2007";74;"You-si Chen and Yang Li and Hui-cai Wang and Mu-jie Yang";""
6792;"Jonathan Kitchen";"Chemistry, School of Natural and Computational Sciences, Massey University, Albany, NZ";1776;"When three is not a crowd: the first trinuclear complexes of N 4-substituted-3, 5-dipyridyl-1, 2, 4-triazole ligands,[Fe II 3 (Rdpt) 4 (NCS) 6]";"1970";12;"Jonathan A Kitchen and Guy NL Jameson and Victoria A Milway and Jeffery L Tallon and Sally Brooker";""
6793;"Zhang Xiao 张翛";"Tongji University, Shanxi Transportation Research Institute";13987;"A series of metal–organic complexes constructed from in situ generated organic amines";"1970";34;"Qing-Feng Yang and Xiao-Bing Cui and Jie-Hui Yu and Jing Lu and Xiao-Yang Yu and Xiao Zhang and Ji-Qing Xu and Qin Hou and Tie-Gang Wang";""
6794;"Yen-Da Chen (陳彥達)";"Department of Computer Information and Network Engineering Lunghwa University of Science and";149860;"Measurement of the top quark mass using proton-proton data at  and 8 TeV";"2016";356;"Vardan Khachatryan and AM Sirunyan and Armen Tumasyan and W Adam and E Asilar and T Bergauer and J Brandstetter and E Brondolin and M Dragicevic and J Erö and M Flechl and M Friedl and R Frühwirth and VM Ghete and C Hartl and N Hoermann and J Hrubec and M Jeitler and V Knuenz and A König and M Krammer and I Kraetschmer and D Liko and T Matsushita and I Mikulec and D Rabady and B Rahbaran and H Rohringer and J Schieck and R Schoefbeck and J Strauss and W Treberer-Treberspurg and W Waltenberger and C-E Wulz and V Mossolov and N Shumeiko and J Suarez Gonzalez and S Alderweireldt and Tom Cornelis and EA De Wolf and X Janssen and A Knutsson and J Lauwers and S Luyckx and M Van De Klundert and H Van Haevermaet and P Van Mechelen and A Van Spilbeeck and S Abu Zeid and F Blekman and J D’Hondt and N Daci and I De Bruyn and K Deroover and N Heracleous and J Keaveney and S Lowette and L Moreels and A Olbrechts and Q Python and D Strom and S Tavernier and W Van Doninck and P Van Mulders and GP Van Onsem and I Van Parijs and P Barria and H Brun and C Caillol and B Clerbaux and G De Lentdecker and G Fasanella and L Favart and A Grebenyuk and G Karapostoli and T Lenzi and A Léonard and T Maerschalk and Andrey Marinov and L Perniè and A Randle-conde and T Reis and T Seva and C Vander Velde and P Vanlaer and R Yonamine and F Zenoni and F Zhang and Kelly Beernaert and Leonardo Benucci and Anna Cimmino and S Crucy and Didar Dobur and Alexis Fagot and Guillaume Garcia and Muhammad Gul and Joseph McCartin and AA Ocampo Rios and Deniz Poyraz and Dirk Ryckbosch and Sinem Salva and Michael Sigamani and Nadja Strobbe and Michael Tytgat and Ward Van Driessche and Efe Yazgan and Nikolaos Zaganidis and S Basegmez and C Beluffi and O Bondu and S Brochet and G Bruno and A Caudron and L Ceard and GG Da Silveira and C Delaere and D Favart and L Forthomme and A Giammanco and J Hollar and A Jafari and P Jez and M Komm and V Lemaitre and A Mertens and M Musich and C Nuttens and L Perrini and A Pin and K Piotrzkowski and A Popov and L Quertenmont and M Selvaggi and M Vidal Marono and N Beliy and GH Hammad and WL Aldá Júnior and FL Alves and GA Alves and L Brito and M Correa Martins Junior and M Hamer and C Hensel and C Mora Herrera and A Moraes and ME Pol and P Rebello Teles and E Belchior Batista Das Chagas and W Carvalho and J Chinellato";""
6795;"Enrico Dall'Ara";"Senior Lecturer, University of Sheffield";1785;"Precision of DVC approaches for strain analysis in bone imaged with muCT at different dimensional levels.";"2017";5;"Enrico Dall'Ara and Marta Peña-Fernández and Marco Palanca and Mario Giorgi and Luca Cristofolini and Gianluca Tozzi";""
6796;"Xudong Wang";"university of Wisconsin Madison";18325;"Triboelectric nanogenerators and power-boards from cellulose nanofibrils and recycled materials";"2016";31;"Chunhua Yao and Alberto Hernandez and Yanhao Yu and Zhiyong Cai and Xudong Wang";""
6797;"Samad Roshan Entezar";"Faculty of Physics, University of Tabriz, Tabriz, Iran";409;"Nonlinear surface waves in one-dimensional photonic crystals containing left-handed metamaterials";"2008";6;"S Roshan Entezar and A Namdar and Z Eyni and H Tajalli";"https://www.researchgate.net/profile/Samad_Roshan_Entezar/publication/235495741_Nonlinear_surface_waves_in_one-dimensional_photonic_crystals_containing_left-handed_metamaterials/links/579daaee08ae5d5e1e150aa2/Nonlinear-surface-waves-in-one-dimensional-photonic-crystals-containing-left-handed-metamaterials.pdf"
