article_id,affiliation,citedby,pub_title,pub_year,citations,pub_author,eprint,journal_id
17,"Assoc. prof., CAVE lab dir., grad. prog. dir. (BME), Dept. of Engineering, Aarhus University",1028,"Whole blood coagulation thrombelastographic profiles employing minimal tissue factor activation",2003,329,"Benny Sørensen and Peter Johansen and K Christiansen and M Woelke and Jørgen Ingerslev",https://onlinelibrary.wiley.com/doi/full/10.1046/j.1538-7836.2003.00075.x,14
18,"Associate Professor, Department of Economics and Statistics University of Naples Federico II",572,"Analysis of powered two-wheeler crashes in Italy by classification trees and rules discovery",2012,97,"Alfonso Montella and Massimo Aria and Antonio D’Ambrosio and Filomena Mauriello",,15
19,"Michigan State University",2886,"Cohesion in group psychotherapy.",1970,338,"Gary M Burlingame and Addie Fuhriman and Jennifer E Johnson",https://www.researchgate.net/profile/Gary_Burlingame/publication/232508813_Cohesion_in_group_psychotherapy/links/00463516345d12fc95000000,16
20,"Debreceni Egyetem, Neurológiai Tanszék",2661,"Ischemic injury in experimental stroke depends on angiotensin II",2002,125,"Thomas Walther and Laszlo Olah and Christoph Harms and Bjoern Maul and Michael Bader and HEIDE HÖRTNAGL and HEINZ-PETER SCHULTHEISS and GÜNTER MIES",https://pdfs.semanticscholar.org/38c3/5d46eaba54635d57908a91cf820323caf2e6.pdf,NULL
21,"Istituto Italiano di Tecnologia",2566,"Tuning the light emission properties by band gap engineering in hybrid lead halide perovskite",2014,356,"Valerio D’Innocenzo and Ajay Ram Srimath Kandada and Michele De Bastiani and Marina Gandini and Annamaria Petrozza",,8
22,"Technical University of Sofia",97,"Challenges in designing and implementation of an effective Ambient Assisted Living system",2015,16,"Pavlina Koleva and Krasimir Tonchev and Georgi Balabanov and Agata Manolova and Vladimir Poulkov",https://www.researchgate.net/profile/Agata_Manolova/publication/308853527_Challenges_in_designing_and_implementation_of_an_effective_Ambient_Assisted_Living_system/links/5a200c13aca272088b23f746/Challenges-in-designing-and-implementation-of-an-effective-Ambient-Assisted-Living-system.pdf,NULL
23,"University of Texas at Rio Grande Valley-School of Medicine",600,"Repeated administration of methylphenidate in young, adolescent, and mature rats affects the response to cocaine later in adulthood",2005,56,"Annelyn Torres-Reverón and Diana L Dow-Edwards",,17
24,"York MRI Facility, Centre for Vision Research, York University",1011,"Behavioral and neuroimaging evidence for a contribution of color and texture information to scene classification in a patient with visual form agnosia",2004,88,"Jennifer KE Steeves and G Keith Humphrey and Jody C Culham and Ravi S Menon and A David Milner and Melvyn A Goodale",,NULL
25,"Berlin University of Technology em.",2556,"Aquifer characterisation using Surface NMR jointly with other geophysical techniques at the Nauen/Berlin test site",2002,132,"Ugur Yaramanci and Gerhard Lange and Marian Hertrich",,18
26,"Escola de Química e Alimentos, Universidade Federal do Rio Grande - FURG",290,"Palladium nanoparticles supported in a polymeric membrane: an efficient phosphine-free “green” catalyst for Suzuki–Miyaura reactions in water",1970,66,"Vinícius W Faria and Deyvid GM Oliveira and Márcia HS Kurz and Fábio F Gonçalves and Carla W Scheeren and Gilber R Rosa",https://pubs.rsc.org/en/content/getauthorversionpdf/c4ra01104j,19
27,"Associate Professor, lektor, Aalborg University",1382,"Experiments to determine modes of cohesive sediment transport in salt water",1962,274,"Hans Albert Einstein and Ray B Krone",https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/JZ067i004p01451%4010.1002/%28ISSN%292156-2202.EROSIO1,20
28,"University of Copenhagen",1033,"The end of bank secrecy? An Evaluation of the G20 tax haven crackdown",1970,265,"Niels Johannesen and Gabriel Zucman","http://eprints.lse.ac.uk/56125/1/__lse.ac.uk_storage_LIBRARY_Secondary_libfile_shared_repository_Content_Zucman,%20G_End%20bank%20secrecy_Zucman_End%20bank%20secrecy_2014.pdf",21
29,"University of Pennsylvania",542,"From light to rich ere: annotation of entities, relations, and events",2015,41,"Zhiyi Song and Ann Bies and Stephanie Strassel and Tom Riese and Justin Mott and Joe Ellis and Jonathan Wright and Seth Kulick and Neville Ryant and Xiaoyi Ma",,NULL
30,"Professor Adjunto Universidade Federal de Ouro Preto",294,"Use of manihot esculenta, crantz processing residue as biofertilizer in corn crops",1970,29,"E Cardoso and D Cardoso and M Cristiano and L da Silva and AJ Back and AM Bernadim and MM da S Paula",,22
31,"CNRS Researcher, UMR 6521, University of Brest, France",720,"Electrochemically triggered double translocation of two different metal ions with a ditopic calix [6] arene ligand",2010,52,"Benoit Colasson and Nicolas Le Poul and Yves Le Mest and Olivia Reinaud",,8
32,"Research Staff, Lawrence Livermore National Laboratory",1028,"Eigenfrequency optimization in optimal design",2001,66,"Grégoire Allaire and Sylvie Aubry and François Jouve",,10
33,"Australian national university",2452,"The invention of politics in colonial Malaya: Contesting nationalism and the expansion of the public sphere",2002,417,"Anthony Milner",,NULL
34,"University of Hartford",641,"The interaction between executive attention and postural control in dual-task conditions: children with cerebral palsy",2008,66,"Dinah S Reilly and Marjorie H Woollacott and Paul van Donkelaar and Sandra Saavedra",https://www.archives-pmr.org/article/S0003-9993(08)00085-3/fulltext,23
35,"Post-doc at School of Public Health - University of Sao Paulo",146,"Artificial Neural Network applied as a methodology of mosquito species identification",2015,19,"Camila Lorenz and Antonio Sergio Ferraudo and Lincoln Suesdek",,24
36,"Assoc. prof., CAVE lab dir., grad. prog. dir. (BME), Dept. of Engineering, Aarhus University",1028,"Reversal of the International Normalized Ratio with recombinant activated factor VII in central nervous system bleeding during warfarin thromboprophylaxis: clinical and …",2003,203,"Benny Sørensen and Peter Johansen and Gitte L Nielsen and Jens C Sørensen and Jørgen Ingerslev",http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.455.7277&rep=rep1&type=pdf,25
37,"Associate Professor, Department of Economics and Statistics University of Naples Federico II",572,"Simulator evaluation of drivers’ speed, deceleration and lateral position at rural intersections in relation to different perceptual cues",2011,72,"Alfonso Montella and Massimo Aria and Antonio D’Ambrosio and Francesco Galante and Filomena Mauriello and Mariano Pernetti",http://www.academia.edu/download/46336077/j.aap.2011.05.03020160608-12326-5eyu1l.pdf,15
38,"Michigan State University",2886,"Group climate, cohesion, alliance, and empathy in group psychotherapy: Multilevel structural equation models.",2005,249,"Jennifer E Johnson and Gary M Burlingame and Joseph A Olsen and D Robert Davies and Robert L Gleave",http://www.academia.edu/download/44554528/Group_Climate_Cohesion_Alliance_and_Empa20160408-3600-hwhz5u.pdf,26
39,"Unknown affiliation",278,"Pharmacokinetic and pharmacodynamic drug interactions with new oral anticoagulants: what do they mean for patients with atrial fibrillation?",2013,66,"Thaddaus Hellwig and Michael Gulseth",,NULL
40,"Debreceni Egyetem, Neurológiai Tanszék",2661,"Changes in the phosphorylation of initiation factor eIF‐2α, elongation factor eEF‐2 and p70 S6 kinase after transient focal cerebral ischaemia in mice",2001,121,"Sonja Althausen and Thorsten Mengesdorf and Günter Mies and Laszlo Oláh and Angus C Nairn and Christopher G Proud and Wulf Paschen",https://onlinelibrary.wiley.com/doi/full/10.1046/j.1471-4159.2001.00462.x,27
41,"Professor, Spatial Hearing Laboratory, Chiba Institute of Technology, Japan",1005,"Median plane localization using a parametric model of the head-related transfer function based on spectral cues",2007,148,"Kazuhiro Iida and Motokuni Itoh and Atsue Itagaki and Masayuki Morimoto",http://www.iida-lab.it-chiba.ac.jp/literature/Research.Papers/14.Median.plane.localization.using~.AA-2007.pdf,28
42,"Istituto Italiano di Tecnologia",2566,"Charge selective contacts, mobile ions and anomalous hysteresis in organic–inorganic perovskite solar cells",1970,267,"Ye Zhang and Mingzhen Liu and Giles E Eperon and Tomas C Leijtens and David McMeekin and Michael Saliba and Wei Zhang and Michele de Bastiani and Annamaria Petrozza and Laura M Herz and Michael B Johnston and Hong Lin and Henry J Snaith",https://pubs.rsc.org/en/content/getauthorversionpdf/c4mh00238e,29
43,"iran university of medical sciences",116,"Predicting response to HBV vaccination in people with positive anti-HBc but negative HBsAg and anti-HBs",2008,22,"Ali Kabir and Seyed-Moayed Alavian and Amir Hossein Faghihi Kashani and Maryam Keshvari",https://www.tandfonline.com/doi/pdf/10.4161/hv.4.5.6010,30
44,"Berlin University of Technology em.",2556,"QT inversion—Comprehensive use of the complete surface NMR data set",2010,113,"Mike Mueller-Petke and Ugur Yaramanci",https://www.researchgate.net/profile/Mike_Mueller-Petke/publication/242013256_QT_inversion-Comprehensive_use_of_the_complete_SNMR_dataset/links/00b49521b044fb5c4c000000/QT-inversion-Comprehensive-use-of-the-complete-SNMR-dataset.pdf,31
45,"York MRI Facility, Centre for Vision Research, York University",1011,"Vision with one eye: a review of visual function following unilateral enucleation",2008,61,"Jennifer KE Steeves and Esther G Gonzalez and Martin J Steinbach",,32
46,"University of Pennsylvania",542,"TableTrans, MultiTrans, InterTrans and TreeTrans: Diverse tools built on the annotation graph toolkit",2002,38,"Steven Bird and Kazuaki Maeda and Xiaoyi Ma and Haejoong Lee and Beth Randall and Salim Zayat",,33
47,"Technical University of Sofia",97,"Blurred image regions detection using wavelet-based histograms and SVM",2011,10,"V Kanchev and K Tonchev and Ognian Boumbarov",http://www.academia.edu/download/32739166/Blurred_Image_Regions_Detection_using_Wavelet-based_Histograms_and_SVM_.pdf,NULL
49,"University of Texas at Rio Grande Valley-School of Medicine",600,"Ultrastructural localization of extranuclear progestin receptors in the rat hippocampal formation",2008,54,"Elizabeth M Waters and Annelyn Torres‐Reveron and Bruce S McEwen and Teresa A Milner",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2577145/,34
50,"CNRS Researcher, UMR 6521, University of Brest, France",720,"Mimicking the protein access channel to a metal center: effect of a funnel complex on dissociative versus associative copper redox chemistry",2009,44,"Nicolas Le Poul and Bénédicte Douziech and Joceline Zeitouny and Grégory Thiabaud and Hélene Colas and Françoise Conan and Nathalie Cosquer and Ivan Jabin and Corinne Lagrost and Philippe Hapiot and Olivia Reinaud and Yves Le Mest",http://www.academia.edu/download/39154469/552403d20cf2b123c5171a2c.pdf,8
51,"University of California, San Diego",4119,"A summary review of wireless sensors and sensor networks for structural health monitoring",2006,1567,"Jerome P Lynch and Kenneth J Loh",http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.126.6482&rep=rep1&type=pdf,35
52,"Associate Professor, lektor, Aalborg University",1382,"Real-time recognition of hand alphabet gestures using principal component analysis",1997,135,"Henrik Birk and Thomas B Moeslund and Claus B Madsen",https://www.researchgate.net/profile/Thomas_Moeslund/publication/2950931_Real-Time_Recognition_of_Hand_Alphabet_Gestures_Using_Principal/links/0deec529457ad84f90000000.pdf,36
53,"Escola de Química e Alimentos, Universidade Federal do Rio Grande - FURG",290,"A mixed NCP pincer palladacycle as catalyst precursor for the coupling of aryl halides with aryl boronic acids",2006,60,"Gilber R Rosa and Clarissa H Rosa and Frank Rominger and Jairton Dupont and Adriano L Monteiro",,37
54,NDVSU,286,"Evaluation of milk urea concentration as useful indicator for dairy herd management: A review",2011,82,"Biswajit Roy and B Brahma and S Ghosh and PK Pankaj and G Mandal",https://www.researchgate.net/profile/Dr_Prabhat_Pankaj/publication/214578151_Evaluation_of_Milk_Urea_Concentration_as_Useful_Indicator_for_Dairy_Herd_Management_A_Review/links/540d3c750cf2d8daaacaffc0/Evaluation-of-Milk-Urea-Concentration-as-Useful-Indicator-for-Dairy-Herd-Management-A-Review.pdf,38
56,"Australian national university",2452,"Kerajaan: Malay political culture on the eve of colonial rule",1970,311,"Anthony Crothers Milner",,NULL
57,"Debreceni Egyetem, Neurológiai Tanszék",2661,"Ischemia induces a translocation of the splicing factor tra2-β1 and changes alternative splicing patterns in the brain",2002,93,"Rosette Daoud and Günter Mies and Agata Smialowska and Laszlo Oláh and Konstantin-Alexander Hossmann and Stefan Stamm",http://www.jneurosci.org/content/jneuro/22/14/5889.full.pdf,9
58,"Professor Adjunto Universidade Federal de Ouro Preto",294,"Ant community composition and its relationship with phytophysiognomies in a Brazilian Restinga",2010,27,"DC Cardoso and TG Sobrinho and JH Schoereder",https://www.researchgate.net/profile/Jose_Schoereder/publication/216849804_Ant_community_composition_and_its_relationship_with_phytophysiognomies_in_a_Brazilian_Restinga/links/0912f510183a5f1f97000000.pdf,39
59,"School of Mathematical Sciences, University College Dublin",359,"Streamwise-travelling waves of spanwise wall velocity for turbulent drag reduction",2009,162,"Maurizio Quadrio and Pierre Ricco and Claudio Viotti",,40
60,"Istituto Italiano di Tecnologia",2566,"17.6% stabilized efficiency in low-temperature processed planar perovskite solar cells",1970,234,"Chen Tao and Stefanie Neutzner and Letizia Colella and Sergio Marras and Ajay Ram Srimath Kandada and Marina Gandini and Michele De Bastiani and Giuseppina Pace and Liberato Manna and Mario Caironi and Chiara Bertarelli and Annamaria Petrozza",https://pubs.rsc.org/en/content/articlehtml/2015/ee/c5ee01720c,41
61,"Associate Professor, Department of Economics and Statistics University of Naples Federico II",572,"Traffic calming along rural highways crossing small urban communities: Driving simulator experiment",2010,66,"Francesco Galante and Filomena Mauriello and Alfonso Montella and Mariano Pernetti and Massimo Aria and Antonio D’Ambrosio",https://www.iris.unina.it/retrieve/handle/11588/364139/5416/AAP42_Traffic%20calming%20along%20rural%20highways%20crossing%20small%20urban%20communities_Driving%20simulator%20experiment.pdf,15
62,"Unknown affiliation",278,"Withdrawal symptoms after gabapentin discontinuation",2010,34,"Thaddaus R Hellwig and Rhonda Hammerquist and Jill Termaat",,42
63,"University of Hartford",641,"Eye hand coordination in children with cerebral palsy",2009,62,"Sandra Saavedra and Aditi Joshi and Marjorie Woollacott and Paul van Donkelaar",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2800126/,13
64,"Berlin University of Technology em.",2556,"Surface NMR within a geophysical study of an aquifer at Haldensleben (Germany)",1999,107,"Ugur Yaramanci and Gerhard Lange and Klaus Knödel",,43
65,"University of Copenhagen",1033,"Tax evasion and inequality",1970,121,"Annette Alstadsæter and Niels Johannesen and Gabriel Zucman",https://pdfs.semanticscholar.org/9d6c/6bed6d99c4d1bea61def204b135f6ea6134a.pdf,44
66,"Assoc. prof., CAVE lab dir., grad. prog. dir. (BME), Dept. of Engineering, Aarhus University",1028,"Mechanical heart valve cavitation",2004,64,"Peter Johansen",,NULL
67,"Post-doc at School of Public Health - University of Sao Paulo",146,"Spatial and temporal epidemiology of malaria in extra-Amazonian regions of Brazil",2015,17,"Camila Lorenz and Flávia Virginio and Breno S Aguiar and Lincoln Suesdek and Francisco Chiaravalloti-Neto",,45
68,"Charles Sturt University",404,"“Objectivity” and “hard news” reporting across cultures: Comparing the news report in English, French, Japanese and Indonesian journalism",2008,120,"Elizabeth A Thomson and Peter RR White and Philip Kitley",http://ro.uow.edu.au/cgi/viewcontent.cgi?article=1174&context=artspapers,46
69,"Professor, Spatial Hearing Laboratory, Chiba Institute of Technology, Japan",1005,"A practical evaluation method of auditory source width in concert halls",1970,67,"Masayuki Morimoto and Kazuhiro Iida",https://www.jstage.jst.go.jp/article/ast1980/16/2/16_2_59/_pdf,47
70,"University of Chicago",2312,"Recent advances in bulk heterojunction polymer solar cells",2015,1275,"Luyao Lu and Tianyue Zheng and Qinghe Wu and Alexander M Schneider and Donglin Zhao and Luping Yu",,NULL
71,"University of Pennsylvania",542,"Models and tools for collaborative annotation",2002,34,"Xiaoyi Ma and Haejoong Lee and Steven Bird and Kazuaki Maeda",,48
72,"Unknown affiliation",1103,"A joint experimental and numerical study of mechanisms associated to instability of partial cavitation on two-dimensional hydrofoil",2005,161,"Jean-Baptiste Leroux and Olivier Coutier-Delgosha and Jacques André Astolfi",,49
73,"York MRI Facility, Centre for Vision Research, York University",1011,"Abnormal face identity coding in the middle fusiform gyrus of two brain-damaged prosopagnosic patients",2009,53,"Jennifer Steeves and Laurence Dricot and Herbert C Goltz and Bettina Sorger and Judith Peters and A David Milner and Melvyn A Goodale and Rainer Goebel and Bruno Rossion",,5
74,"University of Texas at Rio Grande Valley-School of Medicine",600,"Stress exacerbates endometriosis manifestations and inflammatory parameters in an animal model",2012,44,"Marielly Cuevas and Idhaliz Flores and Kenira J Thompson and Dinah L Ramos-Ortolaza and Annelyn Torres-Reveron and Caroline B Appleyard",https://journals.sagepub.com/doi/full/10.1177/1933719112438443,50
75,"iran university of medical sciences",116,"Association between Helicobacter pylori infection and coronary heart disease",2004,14,"MA Bahar and AH Faghihi Kashani and P Haghighat and A Kabir and M Poor Eslami",,51
76,"CNRS Researcher, UMR 6521, University of Brest, France",720,"Supramolecular modeling of mono-copper enzyme active sites with calix [6] arene-based funnel complexes",2015,40,"Nicolas Le Poul and Yves Le Mest and Ivan Jabin and Olivia Reinaud",,52
77,"PhD student, University of Helsinki",30,"A coupled model for liquid water, water vapor and heat transport of saturated–unsaturated soil in cold regions: model formulation and verification",2016,16,"Mingli Zhang and Zhi Wen and Ke Xue and Liangzhi Chen and Desheng Li",https://www.researchgate.net/profile/Liangzhi_Chen6/publication/301313393_A_coupled_model_for_liquid_water_water_vapor_and_heat_transport_of_saturated-unsaturated_soil_in_cold_regions_model_formulation_and_verification/links/5a5dbefaaca272d4a3de7c26/A-coupled-model-for-liquid-water-water-vapor-and-heat-transport-of-saturated-unsaturated-soil-in-cold-regions-model-formulation-and-verification.pdf,53
78,"Technical University of Sofia",97,"Comparative analysis of 3d face recognition algorithms using range image and curvature-based representations",2013,7,"Krasimir Tonchev and Agata Manolova and Ihor Paliy",http://www.academia.edu/download/32061360/IDAACS_13__Manolova_Tonchev.pdf,NULL
79,"Department of Physics, National University of Singapore",14812,"Nonuniversal critical dynamics in Monte Carlo simulations",1987,3167,"Robert H Swendsen and Jian-Sheng Wang",https://www.researchgate.net/profile/Robert_Swendsen/publication/13254310_Nonuniversal_Critical_Dynamics_in_Monte_Carlo_Simulation/links/0046352309b5f77034000000.pdf,54
80,"Research Staff, Lawrence Livermore National Laboratory",1028,"Energy barrier for homogeneous dislocation nucleation: Comparing atomistic and continuum models",2011,63,"Sylvie Aubry and Keonwook Kang and Seunghwa Ryu and Wei Cai",,55
81,"Associate Professor, lektor, Aalborg University",1382,"Optimal landmark selection for triangulation of robot position",1998,82,"Claus B Madsen and Claus S Andersen",http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.20.8662&rep=rep1&type=pdf,56
82,"Debreceni Egyetem, Neurológiai Tanszék",2661,"Secondary deterioration of apparent diffusion coefficient after 1-hour transient focal cerebral ischemia in rats",2000,75,"Laszlo Olah and Stefan Wecker and Mathias Hoehn",https://journals.sagepub.com/doi/pdf/10.1097/00004647-200010000-00009,57
83,"University of California, San Diego",4119,"Multifunctional layer-by-layer carbon nanotube–polyelectrolyte thin films for strain and corrosion sensing",2007,317,"Kenneth J Loh and Junhee Kim and Jerome P Lynch and Nadine Wong Shi Kam and Nicholas A Kotov",https://deepblue.lib.umich.edu/bitstream/handle/2027.42/58148/sms7_2_022.pdf%3Bjsessionid%3DDF0B5D89F0D224BDF1FA88A476A57CF1?sequence%3D2,58
84,"Michigan State University",2886,"Randomized controlled pilot study of cognitive-behavioral therapy in a sample of incarcerated women with substance use disorder and PTSD",2009,183,"Caron Zlotnick and Jennifer Johnson and Lisa M Najavits",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3031094/,59
85,"Post-doc at School of Public Health - University of Sao Paulo",146,"Impact of environmental factors on neglected emerging arboviral diseases",2017,15,"Camila Lorenz and Thiago S Azevedo and Flávia Virginio and Breno S Aguiar and Francisco Chiaravalloti-Neto and Lincoln Suesdek",,60
86,"Berlin University of Technology em.",2556,"Use of block inversion in the 2-D interpretation of apparent resistivity data and its comparison with smooth inversion",2000,93,"AI Olayinka and U Yaramanci",https://pdfs.semanticscholar.org/2f1d/06bacafcb0a28b03188c014b070f1fbf3fba.pdf,18
87,"Australian national university",2452,"the Malays",2009,231,"Anthony Milner",,NULL
88,"Assoc. prof., CAVE lab dir., grad. prog. dir. (BME), Dept. of Engineering, Aarhus University",1028,"Heart rate variability analysis indicates preictal parasympathetic overdrive preceding seizure‐induced cardiac dysrhythmias leading to sudden unexpected death in a patient with …",2014,53,"Jesper Jeppesen and Anders Fuglsang‐Frederiksen and Ramon Brugada and Birthe Pedersen and Guido Rubboli and Peter Johansen and Sándor Beniczky",https://onlinelibrary.wiley.com/doi/full/10.1111/epi.12614,61
89,NDVSU,286,"Influence of milk yield, parity, stage of lactation and body weight on urea and protein concentration in milk of Murrah buffaloes",2003,27,"B Roy and RK Mehla and SK Sirohi",http://www.ajas.info/upload/pdf/16_191.pdf,62
90,"National Chiao Tung University",2858,"Noninvasive neural prostheses using mobile and wireless EEG",2008,166,"Chin-Teng Lin and Li-Wei Ko and Jin-Chern Chiou and Jeng-Ren Duann and Ruey-Song Huang and Sheng-Fu Liang and Tzai-Wen Chiu and Tzyy-Ping Jung",https://ir.nctu.edu.tw/bitstream/11536/8588/1/000257073900011.pdf,63
91,"University of Hartford",641,"Interaction between the development of postural control and the executive function of attention",2008,60,"Dinah S Reilly and Paul van Donkelaar and Sandy Saavedra and Marjorie H Woollacott",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2586927/,64
92,"Professor Adjunto Universidade Federal de Ouro Preto",294,"The role of fusion in ant chromosome evolution: insights from cytogenetic analysis using a molecular phylogenetic approach in the genus Mycetophylax",2014,19,"Danon Clemes Cardoso and Silvia das Graças Pompolo and Maykon Passos Cristiano and Mara Garcia Tavares",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0087473,7
93,"University of Texas at Rio Grande Valley-School of Medicine",600,"Stress differentially alters mu opioid receptor density and trafficking in parvalbumin‐containing interneurons in the female and male rat hippocampus",2013,36,"Teresa A Milner and Suzanne R Burstein and Gina F Marrone and Sana Khalid and Andreina D Gonzalez and Tanya J Williams and Kathryn C Schierberl and Annelyn Torres‐Reveron and Keith L Gonzales and Bruce S Mcewen and Elizabeth M Waters",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3778032/,65
94,"University of Chicago",2312,"Covalently Bound Clusters of Alpha-Substituted PDI Rival Electron Acceptors to Fullerene for Organic Solar Cells",2016,287,"Qinghe Wu and Donglin Zhao and Alexander M Schneider and Wei Chen and Luping Yu",https://www.osti.gov/servlets/purl/1352625,8
95,"BMT Program Director. National Center for Cancer Care and Research. Hamad Medical Corporation. Doha",3221,"Effects of iron overload and hepatitis C virus positivity in determining progression of liver fibrosis in thalassemia following bone marrow transplantation",2002,266,"Emanuele Angelucci and Pietro Muretto and Antonio Nicolucci and Donatella Baronciani and Buket Erer and Javid Gaziev and Marta Ripalti and Pietro Sodani and Silvia Tomassoni and Giuseppe Visani and Guido Lucarelli",http://www.bloodjournal.org/content/bloodjournal/100/1/17.full.pdf,66
96,"University of Pennsylvania",542,"Creating annotation tools with the annotation graph toolkit",2002,26,"Kazuaki Maeda and Steven Bird and Xiaoyi Ma and Haejoong Lee",,67
97,"York MRI Facility, Centre for Vision Research, York University",1011,"Contrast letter thresholds in the non-affected eye of strabismic and unilateral eye enucleated subjects",1996,45,"MJ Reed and JKE Steeves and MJ Steinbach and S Kraft and B Gallie",,68
98,"Istituto Italiano di Tecnologia",2566,"The impact of the crystallization processes on the structural and optical properties of hybrid perovskite films for photovoltaics",2014,195,"Giulia Grancini and Sergio Marras and Mirko Prato and Cinzia Giannini and Claudio Quarti and Filippo De Angelis and Michele De Bastiani and Giles E Eperon and Henry J Snaith and Liberato Manna and Annamaria Petrozza",https://ora.ox.ac.uk/objects/uuid:eb05a653-5bce-4380-bd92-61225bb5e478/download_file?safe_filename=The%2Bimpact%2Bof%2Bthe%2Bcrystallization%2Bprocesses%2Bon%2Bthe%2Bstructural%2Band%2Boptical%2Bproperties%2Bof%2Bhybrid%2Bperovskite%2Bfilms%2Bfor%2Bphotovol.pdf&file_format=application%2Fpdf&type_of_work=Journal+article,69
